Seq1018 6.00
Seq1631 100
Seq1019 8.00
Seq1020 10.00
Seq1021 10.00
Seq1023 10.00
Seq1025 10.00
Seq1031 6.00
Seq1032 8.00
Seq1041 4.00
Seq1042 6.00
Seq1048 10.00
Seq1213 10.00
Seq1258 2.00
Seq1263 8.00
Seq1265 8.00
Seq1266 6.00
Seq1269 10.00
Seq1270 6.00
Seq1271 6.00
Seq1272 8.00
Seq1273 8.00
Seq1274 10.00
Seq1310 6.00
Seq1311 4.00
Seq1312 2.00
Seq1313 6.00
Seq1314 8.00
Seq1315 6.00
Seq1316 8.00
Seq1317 6.00
Seq1325 8.00
Seq1326 10.00
Seq1327 10.00
Seq1328 10.00
Seq1368 6.00
Seq1373 10.00
Seq1383 10.00
Seq1449 10.00
Seq1450 10.00
Seq1457 10.00
Seq1458 10.00
Seq1459 10.00
Seq1460 10.00
Seq1464 10.00
Seq1465 10.00
Seq1466 10.00
Seq1467 10.00
Seq1468 10.00
Seq1469 10.00
Seq1538 6.00
Seq1539 10.00
Seq1540 10.00
Seq1541 10.00
Seq1542 6.00
Seq1543 8.00
Seq1544 8.00
Seq1545 4.00
Seq1546 6.00
Seq1547 6.00
Seq1584 6.00
Seq1589 6.00
Seq1590 6.00
Seq1591 8.00
Seq1618 8.00
Seq1621 10.00
Seq1624 8.00
Seq1629 6.00
Seq1630 8.00
Seq1672 10.00
Seq1673 8.00
Seq1694 6.00
Seq1695 10.00
Seq1700 8.00
Seq1701 8.00
Seq1702 10.00
Seq1703 10.00
Seq1704 8.00
Seq1706 8.00
Seq1708 6.00
Seq1709 10.00
Seq1710 10.00
Seq1712 10.00
Seq1713 10.00
Seq1714 10.00
Seq273 10.00
Seq275 8.00
Seq333 8.00
Seq354 6.00
Seq355 8.00
Seq356 6.00
Seq358 6.00
Seq359 6.00
Seq360 6.00
Seq361 8.00
Seq362 4.00
Seq363 6.00
Seq364 10.00
Seq365 10.00
Seq366 10.00
Seq367 10.00
Seq378 10.00
Seq379 8.00
Seq380 10.00
Seq384 8.00
Seq409 10.00
Seq427 4.00
Seq456 0.00
Seq462 2.00
Seq495 0.00
Seq496 0.00
Seq534 10.00
Seq535 10.00
Seq536 10.00
Seq537 10.00
Seq538 10.00
Seq539 10.00
Seq540 10.00
Seq541 10.00
Seq542 10.00
Seq543 10.00
Seq544 8.00
Seq545 10.00
Seq546 10.00
Seq547 10.00
Seq548 10.00
Seq549 10.00
Seq550 10.00
Seq551 10.00
Seq592 8.00
Seq625 6.00
Seq629 10.00
Seq630 10.00
Seq631 10.00
Seq632 8.00
Seq633 10.00
Seq634 10.00
Seq635 10.00
Seq636 8.00
Seq639 6.00
Seq691 10.00
Seq693 10.00
Seq697 10.00
Seq726 10.00
Seq751 4.00
Seq752 6.00
Seq791 10.00
Seq819 2.00
Seq820 4.00
Seq821 2.00
Seq822 2.00
Seq823 8.00
Seq824 10.00
Seq825 6.00
Seq826 6.00
Seq827 2.00
Seq828 6.00
Seq829 8.00
Seq830 4.00
Seq835 6.00
Seq836 8.00
Seq925 10.00
Seq954 10.00
Seq957 8.00
Seq959 10.00
Seq961 8.00
Seq962 6.00
Seq963 6.00
Seq964 8.00
Seq966 6.00
Seq981 6.00
Seq982 6.00
Seq983 4.00
Seq984 6.00
Seq985 6.00
Seq986 6.00
Seq987 6.00
Seq988 6.00
Seq989 4.00
Seq990 6.00
Seq991 6.00
Seq992 6.00
