Seq543 10.00
Seq538 10.00
Seq537 10.00
Seq536 10.00
Seq535 10.00
Seq534 10.00
Seq384 10.00
Seq1714 10.00
Seq1713 10.00
Seq1712 10.00
Seq1710 10.00
Seq1709 10.00
Seq1708 10.00
Seq1706 10.00
Seq1704 10.00
Seq1703 10.00
Seq1702 10.00
Seq1469 10.00
Seq1468 10.00
Seq1466 10.00
Seq1465 10.00
Seq1464 10.00
Seq1460 10.00
Seq1459 10.00
Seq1458 10.00
Seq1457 10.00
Seq1449 10.00
Seq1383 10.00
Seq1274 10.00
Seq1025 10.00
Seq1021 10.00
Seq1020 10.00
Seq791 8.00
Seq691 8.00
Seq551 8.00
Seq550 8.00
Seq540 8.00
Seq462 8.00
Seq379 8.00
Seq367 8.00
Seq358 8.00
Seq356 8.00
Seq1701 8.00
Seq1700 8.00
Seq1467 8.00
Seq1314 8.00
Seq1313 8.00
Seq1269 8.00
Seq1023 8.00
Seq1019 8.00
Seq1018 8.00
